price,propertyType,size,rooms,bathrooms,floor,hasLift,parkingSpace,city,house_status
890000,flat,271,4,2,2,0,0,Oeiras,0
270000,flat,84,3,2,2,0,0,Oeiras,0
885000,chalet,216,3,4,0,0,0,Oeiras,0
647521,flat,109,2,3,1,1,1,Oeiras,1
751275,flat,123,3,3,1,1,1,Oeiras,1
939750,flat,156,4,5,3,1,1,Oeiras,1
1393200,chalet,185,4,5,0,0,1,Oeiras,1
533800,flat,107,2,3,3,1,1,Oeiras,1
441705,flat,80,1,2,2,1,1,Oeiras,1
503585,flat,88,2,3,2,1,1,Oeiras,1
754325,flat,137,3,4,1,1,1,Oeiras,1
530000,flat,123,3,2,2,1,1,Oeiras,1
550000,flat,123,3,2,3,1,1,Oeiras,1
525000,flat,119,3,2,3,1,1,Oeiras,1
280000,flat,93,3,2,2,False,0,Oeiras,0
2200000,chalet,223,6,4,0,0,0,Oeiras,0
235000,flat,60,2,1,0,False,0,Oeiras,0
945000,chalet,285,5,5,0,0,1,Oeiras,0
398000,flat,95,3,2,0,1,1,Oeiras,0
985000,flat,220,3,2,0,1,1,Oeiras,0
830000,flat,153,3,3,10,1,1,Oeiras,1
730000,flat,168,3,3,6,1,1,Oeiras,1
495000,flat,181,4,3,2,1,0,Oeiras,0
520000,duplex,120,3,3,5,1,1,Oeiras,0
289000,flat,94,3,2,9,1,0,Oeiras,0
440000,flat,104,3,3,4,1,1,Oeiras,0
860000,chalet,298,5,6,0,0,1,Oeiras,0
750000,chalet,260,4,5,0,0,1,Oeiras,0
450000,flat,180,4,2,2,0,0,Oeiras,0
847000,flat,133,3,4,2,1,1,Oeiras,0
3050000,chalet,1200,4,7,0,0,1,Oeiras,0
529000,chalet,201,4,3,0,0,0,Oeiras,0
335000,flat,68,2,1,2,0,0,Oeiras,0
820000,chalet,306,5,3,0,0,0,Oeiras,0
350000,flat,102,4,2,2,0,0,Oeiras,0
785000,flat,133,3,4,2,1,1,Oeiras,0
195000,flat,53,1,1,2,1,0,Oeiras,0
995000,flat,222,4,4,5,1,1,Oeiras,0
690000,flat,183,5,2,4,0,1,Oeiras,0
985000,flat,161,3,2,2,0,1,Oeiras,0
360000,flat,110,3,2,2,0,0,Oeiras,0
1300000,chalet,220,5,6,0,0,1,Oeiras,-1
